bioguide_id,representative,party,party_code,state_abbr,Democratic Majority,Not Voting,Present,Republican Majority,Neither,party_split_roll_calls,votes_cast_on_party_split_roll_calls,with_republican_pct,with_democratic_pct,missed_party_split_votes_pct
K000009,Kaptur,Democratic,D,OH,330,7,6,39,0,382,369,10.6,89.4,1.8
L000601,Landsman,Democratic,D,OH,339,1,1,41,0,382,380,10.8,89.2,0.3
S001223,Sykes,Democratic,D,OH,351,11,1,19,0,382,370,5.1,94.9,2.9
B001278,Bonamici,Democratic,D,OR,380,2,0,0,0,382,380,0.0,100.0,0.5
B001326,Bynum,Democratic,D,OR,358,1,2,21,0,382,379,5.5,94.5,0.3
D000635,Dexter,Democratic,D,OR,381,1,0,0,0,382,381,0.0,100.0,0.3
H001094,Hoyle (OR),Democratic,D,OR,364,6,1,11,0,382,375,2.9,97.1,1.6
S001226,Salinas,Democratic,D,OR,373,0,0,9,0,382,382,2.4,97.6,0.0
B001296,Boyle (PA),Democratic,D,PA,357,12,0,13,0,382,370,3.5,96.5,3.1
D000631,Dean (PA),Democratic,D,PA,377,4,0,1,0,382,378,0.3,99.7,1.0
D000530,Deluzio,Democratic,D,PA,375,0,0,7,0,382,382,1.8,98.2,0.0
E000296,Evans (PA),Democratic,D,PA,350,31,0,1,0,382,351,0.3,99.7,8.1
H001085,Houlahan,Democratic,D,PA,351,5,4,22,0,382,373,5.9,94.1,1.3
L000602,Lee (PA),Democratic,D,PA,382,0,0,0,0,382,382,0.0,100.0,0.0
S001205,Scanlon,Democratic,D,PA,379,3,0,0,0,382,379,0.0,100.0,0.8
A000380,Amo,Democratic,D,RI,376,0,0,6,0,382,382,1.6,98.4,0.0
M001223,Magaziner,Democratic,D,RI,357,8,0,17,0,382,374,4.5,95.5,2.1
C000537,Clyburn,Democratic,D,SC,368,6,0,8,0,382,376,2.1,97.9,1.6
C001068,Cohen,Democratic,D,TN,367,8,0,7,0,382,374,1.9,98.1,2.1
C001131,Casar,Democratic,D,TX,321,61,0,0,0,382,321,0.0,100.0,16.0
C001091,Castro (TX),Democratic,D,TX,373,8,0,1,0,382,374,0.3,99.7,2.1
C001130,Crockett,Democratic,D,TX,358,23,0,1,0,382,359,0.3,99.7,6.0
C001063,Cuellar,Democratic,D,TX,247,5,0,130,0,382,377,34.5,65.5,1.3
D000399,Doggett,Democratic,D,TX,371,9,0,2,0,382,373,0.5,99.5,2.4
E000299,Escobar,Democratic,D,TX,378,2,0,2,0,382,380,0.5,99.5,0.5
F000468,Fletcher,Democratic,D,TX,375,0,0,7,0,382,382,1.8,98.2,0.0
G000587,Garcia (TX),Democratic,D,TX,358,22,0,2,0,382,360,0.6,99.4,5.8
G000581,"Gonzalez, V.",Democratic,D,TX,278,9,1,94,0,382,372,25.3,74.7,2.4
G000553,"Green, Al (TX)",Democratic,D,TX,376,4,2,0,0,382,376,0.0,100.0,1.0
J000310,Johnson (TX),Democratic,D,TX,357,7,0,18,0,382,375,4.8,95.2,1.8
M001245,Menefee,Democratic,D,TX,86,8,0,0,0,94,86,0.0,100.0,8.5
T000489,Turner (TX),Democratic,D,TX,32,0,0,1,0,33,33,3.0,97.0,0.0
V000131,Veasey,Democratic,D,TX,344,8,1,29,0,382,373,7.8,92.2,2.1
B001292,Beyer,Democratic,D,VA,371,8,1,2,0,382,373,0.5,99.5,2.1
C001078,Connolly,Democratic,D,VA,62,19,0,1,0,82,63,1.6,98.4,23.2
M001227,McClellan,Democratic,D,VA,379,0,1,2,0,382,381,0.5,99.5,0.0
S000185,Scott (VA),Democratic,D,VA,380,1,0,1,0,382,381,0.3,99.7,0.3
S001230,Subramanyam,Democratic,D,VA,364,1,2,15,0,382,379,4.0,96.0,0.3
V000138,Vindman,Democratic,D,VA,332,2,0,48,0,382,380,12.6,87.4,0.5
W000831,Walkinshaw,Democratic,D,VA,221,1,1,3,0,226,224,1.3,98.7,0.4
B001318,Balint,Democratic,D,VT,381,1,0,0,0,382,381,0.0,100.0,0.3
D000617,DelBene,Democratic,D,WA,370,5,1,6,0,382,376,1.6,98.4,1.3
J000298,Jayapal,Democratic,D,WA,365,16,0,1,0,382,366,0.3,99.7,4.2
L000560,Larsen (WA),Democratic,D,WA,362,10,0,10,0,382,372,2.7,97.3,2.6
G000600,Perez,Democratic,D,WA,266,4,0,112,0,382,378,29.6,70.4,1.0
R000621,Randall,Democratic,D,WA,369,12,0,1,0,382,370,0.3,99.7,3.1
S001216,Schrier,Democratic,D,WA,344,6,0,32,0,382,376,8.5,91.5,1.6
S000510,Smith (WA),Democratic,D,WA,372,5,0,5,0,382,377,1.3,98.7,1.3
S001159,Strickland,Democratic,D,WA,368,4,0,10,0,382,378,2.6,97.4,1.0
M001160,Moore (WI),Democratic,D,WI,370,8,0,4,0,382,374,1.1,98.9,2.1
P000607,Pocan,Democratic,D,WI,379,2,0,1,0,382,380,0.3,99.7,0.5
H001103,Hernández,Democratic,D,XX,35,5,0,0,0,40,35,0.0,100.0,12.5
N000147,Norton,Democratic,D,XX,40,0,0,0,0,40,40,0.0,100.0,0.0
